fname,ridge,rf,lr,gb,xbg,dt,lasso,enr,knn
D158_D159_D160.csv,736795.9861445548,803621.7821818269,806731.6757602796,807117.690604732,835954.038980892,7794.980571915905,786575.5036193099,775425.2715578098,756073.9298525
D1659_D1660_D1661.csv,22871631.644937616,22697817.594336916,22937682.429182682,22625733.10136788,22513138.8215797,1339.968618028507,22847449.874510508,22828420.74155583,22617333.337037038
D2083_D2084_D2085.csv,7640688.6346555175,3780898.399999994,8018767.444052793,4656245.569771299,4655839.102553392,11785020.0,3025974.6090385113,3025974.6090385113,2986997.6
D46_D47_D48.csv,105355229.22763154,105355139.29732332,105354970.93880257,105355390.55931072,105355572.84517333,0.03747989029234478,105355686.47827312,105356674.04561615,105356484.73891257
D146_D147_D148.csv,9127479.39894693,9800307.555852162,8961196.07674392,11254298.36946613,8324836.10292471,64916.97397899539,10034275.226127815,9301296.051643735,9153684.55143222
D2065_D2066_D2067.csv,1221960.0715830221,1447755.3722645221,1575788.426440526,1383521.8626989878,1474615.1532010594,4658.33126785508,1213272.8187642526,1202178.8460732175,1146231.0401935487
D37_D38_D39.csv,29224.277968086324,18558.874123242284,10983.1554688315,23801.410487975478,22437.331603840987,9044.8212577288,50933.8493835034,29375.816197224827,18236.071333333333
D2055_D2056_D2057.csv,90540.94854226637,74418.26666776353,111621.96473360671,71700.75387523702,76046.14449197054,617.9320003751914,85815.05576250883,89009.83823742894,88894.66861111109
D2044_D2045_D2046.csv,32394006.475690566,32904051.153788783,31624486.09646579,32533626.971089013,32698582.74457913,52694.69377509272,32626874.83916049,32391565.18307383,32791368.59435795
D129_D130_D131.csv,4907635.558222585,4008423.5769946366,5780455.711832674,4692892.118398508,4079654.522623807,27440.51327393563,5029090.890767298,5029090.890767298,3858261.9341280656
D3630_D3631_D3632.csv,1018342.6567411337,958573.3863134157,792599.1364523878,986487.7410890386,1014495.2592789202,9471.997013657328,1006026.2586667452,964559.5550570998,1013038.116
D2074_D2075_D2076.csv,9966455.875055224,3160402.897603679,4696791.614678834,4178123.194498888,1300178.0643592733,6852273.908371882,12826841.65519058,12761427.791002976,1603536.7141509699
D162_D163_D164.csv,76973.27749479018,54439.95334355659,37778.86714455263,113169.29490487673,47757.200110891186,26991.504713245016,131557.62318714088,111463.82513955096,26707.472762499983
D3639_D3640_D3641.csv,10642322.897778448,11600822.378125105,10758679.909405783,11486645.258242179,11716599.533995066,22410.903688184015,10729228.329347983,10703198.243452782,11819277.601000002
D1642_D1643_D1644.csv,5325439.536066957,4635598.056820918,5477281.045766081,4712010.382161479,4678738.672976007,18982.314185344054,5347240.0840540305,5367234.419082207,4642215.184117647
D1628_D1629_D1630.csv,7600796.497718109,7741900.948470899,7689154.4772997135,7284769.896499327,7713613.721448072,89289.6081764109,7766025.046378219,7551599.654056387,7503197.855877787
D3616_D3617_D3618.csv,109365.33722661623,113970.26471844448,110976.2776039949,118998.04238893783,116987.59985483426,872.979533505973,112456.90994144145,113946.87548042327,110488.52270833332
D1622_D1623_D1624.csv,26592647.246820252,27364581.946436044,26819932.905117676,27220777.47382337,27440658.638384834,13739.845247686235,26868213.056415666,26708494.488719303,26850005.392354567
D2057_D2058_D2059.csv,8296.87377631307,3755.14532349516,4303.119157520477,7222.122192637162,3383.057376658751,2186.5069444444443,5497.726541834689,7572.708779858872,10102.873837568543
D154_D155_D156.csv,23163143.134989254,21669688.98316682,22495335.138852287,21929179.850140236,21124939.55432806,165236.55433554383,23200934.615775734,22969695.842505217,21815813.60535754
D1645_D1646_D1647.csv,67715.41583176496,47109.07886029896,73797.54205168597,45385.43285218927,72870.69722508168,3698.202920819637,59851.91317522717,58146.20649343934,65886.48625000002
D170_D171_D172.csv,43546.75939568626,111188.29143128968,53450.744016068034,187135.22173876988,69807.39913116685,75197.13054695858,46726.627806379096,46241.39910838029,59961.465250175024
D4_D5_D6.csv,660663.5283523349,670873.0956781282,660728.270959436,669730.6165107528,673663.9377597636,38.78442051701386,671677.1545837083,664923.8407084777,669540.1084983436
D3636_D3637_D3638.csv,26137329.088463336,26511578.959088244,25719440.962901603,26741078.557165127,25826932.56159758,130153.99180826804,26615197.707780987,26646508.571035266,24739727.651612904
D2052_D2053_D2054.csv,5832915.037655519,6136586.604938005,5746169.215072409,6125934.848029345,6121849.297439692,4055.6340443777817,5895783.302291568,5899408.081417553,6093823.618187704
D149_D150_D151.csv,3801139.7668434456,3235649.1370904194,3801624.164055653,3068565.308482743,2932712.5839862633,43072.73141337576,3742617.147269604,3746065.02568045,3277119.199570989
D3610_D3611_D3612.csv,179673000.6173897,172122981.15556976,188289086.33344278,173218114.20281777,173898857.43328834,32278.901987344812,173048090.6609393,173734351.56273857,174621127.51001737
D2077_D2078_D2079.csv,2564450.741851948,2746861.7418960324,2564465.4629667406,2696918.5138031794,2811475.6094067814,16203.245744728261,2565769.807157663,2564882.7010370465,2888717.501775727
D3600_D3601_D3602.csv,17317061.674306605,17325147.341643345,17390268.27538847,17308381.622202516,17253665.26125294,181.90375474312677,17342767.47135402,17315541.670233183,17322477.931491353
D1631_D1632_D1633.csv,3564799.519025062,3373643.207774219,3337831.5813137186,3904669.666820365,3345565.607387406,15452.451135900734,3505108.1689701774,3478333.0306058107,3741885.628125
D2070_D2071_D2072.csv,1192083.2762833845,1297393.8622846701,1300229.443542446,1138943.042645473,1254406.8710838524,10852.512948741542,1197421.1527592237,1164237.5708875444,1242971.9109910137
D1618_D1619_D1620.csv,748222.5680833902,1077144.5894090375,925560.286609152,736114.394568045,900894.295712266,58627.33680555554,782161.9832294207,720128.3050158435,828161.1225
D3642_D3643_D3644.csv,8693050.05018848,7115455.467840129,8697097.141701473,7454893.867556616,6396491.693793024,60824.23202419196,7840053.753501764,8286959.421570351,6889450.727279215
D1626_D1627_D1628.csv,63787.53413094681,54073.57671536276,24888.7968268616,49480.92896390601,33729.349731051494,45392.85714285716,101374.59558399305,95228.94670599431,13586.26727051969
D2078_D2079_D2080.csv,1533003.556505366,1169253.8510845231,1533013.139461227,1200723.758636317,1141198.172115162,37055.24409881167,1533040.6031965213,1533040.6031965213,1250865.9368890177
D3625_D3626_D3627.csv,422983.5109741565,482985.19992118626,824051.5199085403,446683.2517752363,429146.1158512433,58593.1353575433,299546.7663674617,376676.421602906,461984.22722370905
D2072_D2073_D2074.csv,868804.2833915527,408201.78370027826,795794.1608173515,444622.1497514626,410423.75909489195,202073.05555555556,882246.63325361,888455.7935900482,443913.97551142686
